"idno","avg_x","avg_y","avg_z"
4010100,216,134,257
4010700,221,115,255
4010800,226,115,290
4011000,210,144,242
4011200,181,109,223
4011700,219,128,270
4012000,233,154,266
4012200,213,138,269
4012500,174,105,250
4013200,219,140,216
4014400,258,135,226
4014800,208,122,205
4014900,200,138,229
4015000,208,128,197
4015300,241,129,285
4015500,231,123,214
4015900,201,124,211
4016100,230,135,273
4016800,238,124,312
4017200,218,124,281
4017500,197,135,250
4017600,215,139,279
4017700,254,128,276
4017900,226,132,235
4018000,225,129,273
4018700,211,137,243
4019100,226,147,247
4019300,215,141,260
4019400,215,132,195
4021300,190,119,262
4021900,204,113,210
4022100,222,134,239
4022200,198,117,238
4022300,189,96,198
4022500,213,119,273
4022600,209,118,236
4022900,206,123,222
4023000,228,136,241
4400000,183,134,176
4400100,197,123,251
4400200,198,121,241
4400300,198,131,254
4400400,181,119,270
4400500,196,130,265
4400600,194,123,259
4400700,191,129,254
4400800,200,127,242
4400900,198,132,275
4401000,194,141,276
4401100,194,128,243
4401300,192,129,276
4401400,203,128,263
4401500,201,132,262
4401600,200,129,279
4401700,189,112,265
5010100,212,138,213
5010200,225,139,265
5010400,201,128,275
5010800,208,144,247
5011100,197,129,269
5011200,262,137,238
5011300,185,129,212
5011500,212,129,198
5011900,237,128,256
5012000,168,126,216
5012200,227,157,247
5012300,232,142,291
5012600,239,139,266
5012700,235,151,281
5013100,215,149,274
5013600,211,132,216
5013700,223,147,275
5014200,225,146,274
5015800,233,139,230
5016700,214,132,218
5017600,222,141,249
5018400,203,135,270
5018700,215,150,237
5018900,239,135,264
5021800,198,127,296
5021900,230,129,262
5022000,166,106,241
5022600,197,119,231
5022800,256,136,260
7011600,225,119,244
7012200,235,145,259
7013600,214,126,236
7014000,226,129,268
7014900,213,120,232
7015400,211,137,278
7015800,209,121,260
7015900,240,150,244
7016200,230,134,240
7016400,204,114,232
7017800,228,143,295
7018400,207,119,211
7018500,215,127,305
7018600,232,131,292
7019200,221,135,267
7019300,232,143,271
7019400,213,110,210
7019500,243,136,273
7019800,228,128,272
7042100,214,135,264
7043300,248,124,221
7043900,215,126,268
7044000,231,163,271
8011100,226,137,258
8011200,240,139,264
8012300,228,143,260
8012800,206,134,242
8013600,227,147,287
8013900,221,139,234
8014200,229,154,262
8014900,218,147,290
8015200,220,147,231
8016300,226,138,213
8017000,251,139,272
8017300,222,143,294
8018400,226,163,246
8018500,211,119,268
8021400,228,131,228
8021900,238,129,290
8022500,234,139,237
8023000,216,155,268
8023100,236,143,282
