,source,target,value
0,NE,Vanishing,30
1,NE,Apical,14724
2,NE,Diffuse,51960
3,NE,Senile,74111
4,NE,oCPFE,42498
5,NE,rCPFE,25493
6,Vanishing,Vanishing,7549
7,Vanishing,Apical,1545
8,Vanishing,Diffuse,57
9,Vanishing,Senile,15
10,Vanishing,oCPFE,13
11,Vanishing,rCPFE,24
12,Apical,Vanishing,6369
13,Apical,Apical,61096
14,Apical,Diffuse,6169
15,Apical,Senile,2319
16,Apical,oCPFE,943
17,Apical,rCPFE,3627
18,Diffuse,Vanishing,760
19,Diffuse,Apical,30522
20,Diffuse,Diffuse,121251
21,Diffuse,Senile,21694
22,Diffuse,oCPFE,1955
23,Diffuse,rCPFE,1366
24,Senile,Vanishing,52
25,Senile,Apical,14499
26,Senile,Diffuse,34015
27,Senile,Senile,48456
28,Senile,oCPFE,8377
29,Senile,rCPFE,4253
30,oCPFE,Vanishing,19
31,oCPFE,Apical,4945
32,oCPFE,Diffuse,4113
33,oCPFE,Senile,13346
34,oCPFE,oCPFE,14098
35,oCPFE,rCPFE,4513
36,rCPFE,Vanishing,19
37,rCPFE,Apical,9464
38,rCPFE,Diffuse,991
39,rCPFE,Senile,3153
40,rCPFE,oCPFE,3994
41,rCPFE,rCPFE,17811
