"PassengerID","Survival"
892,"Died"
893,"Died"
894,"Died"
895,"Died"
896,"Died"
897,"Died"
898,"Survived"
899,"Died"
900,"Survived"
901,"Died"
902,"Died"
903,"Died"
904,"Survived"
905,"Died"
906,"Survived"
907,"Survived"
908,"Died"
909,"Died"
910,"Died"
911,"Survived"
912,"Died"
913,"Survived"
914,"Survived"
915,"Died"
916,"Survived"
917,"Died"
918,"Survived"
919,"Died"
920,"Died"
921,"Died"
922,"Died"
923,"Died"
924,"Survived"
925,"Died"
926,"Survived"
927,"Died"
928,"Died"
929,"Died"
930,"Died"
931,"Died"
932,"Died"
933,"Survived"
934,"Died"
935,"Survived"
936,"Survived"
937,"Died"
938,"Died"
939,"Died"
940,"Survived"
941,"Survived"
942,"Died"
943,"Died"
944,"Survived"
945,"Survived"
946,"Died"
947,"Died"
948,"Died"
949,"Died"
950,"Died"
951,"Survived"
952,"Died"
953,"Died"
954,"Died"
955,"Survived"
956,"Survived"
957,"Survived"
958,"Survived"
959,"Died"
960,"Died"
961,"Survived"
962,"Survived"
963,"Died"
964,"Died"
965,"Died"
966,"Survived"
967,"Died"
968,"Died"
969,"Survived"
970,"Died"
971,"Survived"
972,"Survived"
973,"Died"
974,"Died"
975,"Died"
976,"Died"
977,"Died"
978,"Survived"
979,"Died"
980,"Survived"
981,"Survived"
982,"Died"
983,"Died"
984,"Survived"
985,"Died"
986,"Died"
987,"Died"
988,"Survived"
989,"Died"
990,"Survived"
991,"Died"
992,"Survived"
993,"Died"
994,"Died"
995,"Died"
996,"Survived"
997,"Died"
998,"Died"
999,"Died"
1000,"Died"
1001,"Died"
1002,"Died"
1003,"Survived"
1004,"Survived"
1005,"Survived"
1006,"Survived"
1007,"Died"
1008,"Died"
1009,"Survived"
1010,"Died"
1011,"Survived"
1012,"Survived"
1013,"Died"
1014,"Survived"
1015,"Died"
1016,"Died"
1017,"Survived"
1018,"Died"
1019,"Survived"
1020,"Died"
1021,"Died"
1022,"Died"
1023,"Died"
1024,"Died"
1025,"Died"
1026,"Died"
1027,"Died"
1028,"Died"
1029,"Died"
1030,"Died"
1031,"Died"
1032,"Died"
1033,"Survived"
1034,"Died"
1035,"Died"
1036,"Survived"
1037,"Died"
1038,"Died"
1039,"Died"
1040,"Survived"
1041,"Died"
1042,"Survived"
1043,"Died"
1044,"Died"
1045,"Survived"
1046,"Died"
1047,"Died"
1048,"Survived"
1049,"Survived"
1050,"Survived"
1051,"Survived"
1052,"Survived"
1053,"Survived"
1054,"Survived"
1055,"Died"
1056,"Died"
1057,"Survived"
1058,"Died"
1059,"Died"
1060,"Survived"
1061,"Died"
1062,"Died"
1063,"Died"
1064,"Died"
1065,"Died"
1066,"Died"
1067,"Survived"
1068,"Survived"
1069,"Died"
1070,"Survived"
1071,"Survived"
1072,"Died"
1073,"Died"
1074,"Survived"
1075,"Died"
1076,"Survived"
1077,"Died"
1078,"Survived"
1079,"Died"
1080,"Died"
1081,"Died"
1082,"Died"
1083,"Died"
1084,"Survived"
1085,"Died"
1086,"Survived"
1087,"Died"
1088,"Survived"
1089,"Survived"
1090,"Died"
1091,"Died"
1092,"Survived"
1093,"Survived"
1094,"Survived"
1095,"Survived"
1096,"Died"
1097,"Died"
1098,"Survived"
1099,"Died"
1100,"Survived"
1101,"Died"
1102,"Died"
1103,"Died"
1104,"Died"
1105,"Survived"
1106,"Survived"
1107,"Died"
1108,"Survived"
1109,"Died"
1110,"Survived"
1111,"Died"
1112,"Survived"
1113,"Died"
1114,"Survived"
1115,"Died"
1116,"Survived"
1117,"Survived"
1118,"Died"
1119,"Survived"
1120,"Died"
1121,"Died"
1122,"Died"
1123,"Survived"
1124,"Died"
1125,"Died"
1126,"Survived"
1127,"Died"
1128,"Died"
1129,"Died"
1130,"Survived"
1131,"Survived"
1132,"Survived"
1133,"Survived"
1134,"Died"
1135,"Died"
1136,"Survived"
1137,"Died"
1138,"Survived"
1139,"Died"
1140,"Survived"
1141,"Died"
1142,"Survived"
1143,"Died"
1144,"Died"
1145,"Died"
1146,"Died"
1147,"Died"
1148,"Died"
1149,"Died"
1150,"Survived"
1151,"Died"
1152,"Died"
1153,"Died"
1154,"Survived"
1155,"Survived"
1156,"Died"
1157,"Died"
1158,"Died"
1159,"Died"
1160,"Died"
1161,"Died"
1162,"Died"
1163,"Died"
1164,"Survived"
1165,"Survived"
1166,"Died"
1167,"Survived"
1168,"Died"
1169,"Died"
1170,"Died"
1171,"Died"
1172,"Died"
1173,"Survived"
1174,"Survived"
1175,"Died"
1176,"Survived"
1177,"Died"
1178,"Died"
1179,"Died"
1180,"Died"
1181,"Died"
1182,"Died"
1183,"Survived"
1184,"Died"
1185,"Died"
1186,"Died"
1187,"Died"
1188,"Survived"
1189,"Died"
1190,"Died"
1191,"Died"
1192,"Died"
1193,"Died"
1194,"Died"
1195,"Died"
1196,"Survived"
1197,"Survived"
1198,"Survived"
1199,"Survived"
1200,"Died"
1201,"Died"
1202,"Died"
1203,"Died"
1204,"Died"
1205,"Survived"
1206,"Survived"
1207,"Survived"
1208,"Died"
1209,"Died"
1210,"Died"
1211,"Died"
1212,"Died"
1213,"Died"
1214,"Died"
1215,"Survived"
1216,"Survived"
1217,"Died"
1218,"Survived"
1219,"Died"
1220,"Died"
1221,"Died"
1222,"Survived"
1223,"Died"
1224,"Died"
1225,"Survived"
1226,"Died"
1227,"Died"
1228,"Died"
1229,"Died"
1230,"Died"
1231,"Survived"
1232,"Died"
1233,"Died"
1234,"Died"
1235,"Survived"
1236,"Survived"
1237,"Survived"
1238,"Died"
1239,"Survived"
1240,"Died"
1241,"Survived"
1242,"Survived"
1243,"Died"
1244,"Died"
1245,"Died"
1246,"Survived"
1247,"Died"
1248,"Survived"
1249,"Died"
1250,"Died"
1251,"Survived"
1252,"Died"
1253,"Survived"
1254,"Survived"
1255,"Died"
1256,"Survived"
1257,"Died"
1258,"Died"
1259,"Survived"
1260,"Survived"
1261,"Died"
1262,"Died"
1263,"Survived"
1264,"Died"
1265,"Died"
1266,"Survived"
1267,"Survived"
1268,"Died"
1269,"Died"
1270,"Died"
1271,"Died"
1272,"Died"
1273,"Died"
1274,"Survived"
1275,"Survived"
1276,"Died"
1277,"Survived"
1278,"Died"
1279,"Died"
1280,"Died"
1281,"Died"
1282,"Died"
1283,"Survived"
1284,"Survived"
1285,"Died"
1286,"Died"
1287,"Survived"
1288,"Died"
1289,"Survived"
1290,"Died"
1291,"Died"
1292,"Survived"
1293,"Died"
1294,"Survived"
1295,"Died"
1296,"Died"
1297,"Died"
1298,"Died"
1299,"Died"
1300,"Survived"
1301,"Survived"
1302,"Survived"
1303,"Survived"
1304,"Survived"
1305,"Died"
1306,"Survived"
1307,"Died"
1308,"Died"
1309,"Survived"
